Customer ID,RFM_Cell,Customer_Segment
18065,444,Champions
15105,444,Champions
16401,444,Champions
13552,444,Champions
15854,444,Champions
15021,444,Champions
12726,444,Champions
14110,444,Champions
15380,444,Champions
18092,444,Champions
13588,444,Champions
15845,444,Champions
14227,444,Champions
14595,444,Champions
13658,444,Champions
17669,444,Champions
17434,444,Champions
17602,444,Champions
16156,444,Champions
17402,444,Champions
17428,444,Champions
17293,444,Champions
17530,444,Champions
12444,444,Champions
16709,444,Champions
12476,444,Champions
13268,444,Champions
15505,444,Champions
18122,444,Champions
17049,444,Champions
17663,444,Champions
15240,444,Champions
17238,444,Champions
18055,444,Champions
12600,444,Champions
17652,444,Champions
15410,444,Champions
14262,444,Champions
18225,444,Champions
14056,444,Champions
14462,444,Champions
12963,444,Champions
15152,444,Champions
13599,444,Champions
15382,444,Champions
13141,444,Champions
15498,444,Champions
15465,444,Champions
13078,444,Champions
17677,444,Champions
17858,444,Champions
15547,444,Champions
17750,444,Champions
14769,444,Champions
16033,444,Champions
14735,444,Champions
12682,444,Champions
15058,444,Champions
17613,444,Champions
12901,444,Champions
14290,444,Champions
13102,444,Champions
14282,444,Champions
12621,444,Champions
14146,444,Champions
12457,444,Champions
18226,444,Champions
12562,444,Champions
18094,444,Champions
17451,444,Champions
16678,444,Champions
12408,444,Champions
15864,444,Champions
12474,444,Champions
12483,444,Champions
16210,444,Champions
15628,444,Champions
12921,444,Champions
16745,444,Champions
13695,444,Champions
17091,444,Champions
17090,444,Champions
14415,444,Champions
16686,444,Champions
16333,444,Champions
13418,444,Champions
16945,444,Champions
12670,444,Champions
18180,444,Champions
14866,444,Champions
17863,444,Champions
17686,444,Champions
14221,444,Champions
13448,444,Champions
16360,444,Champions
16327,444,Champions
12584,444,Champions
17340,444,Champions
13094,444,Champions
17873,444,Champions
14191,444,Champions
16700,444,Champions
14766,444,Champions
13767,444,Champions
16525,444,Champions
17164,444,Champions
15140,444,Champions
12721,444,Champions
15203,444,Champions
14060,444,Champions
12939,444,Champions
17865,444,Champions
15290,444,Champions
12523,444,Champions
17758,444,Champions
12520,444,Champions
15351,444,Champions
15696,444,Champions
17651,444,Champions
17730,444,Champions
12678,444,Champions
17581,444,Champions
16735,444,Champions
14299,444,Champions
17920,444,Champions
14395,444,Champions
14004,444,Champions
14659,444,Champions
17644,444,Champions
12910,444,Champions
16161,444,Champions
15640,444,Champions
12906,444,Champions
16633,444,Champions
13394,444,Champions
18172,444,Champions
12437,444,Champions
14854,444,Champions
